date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:21:01	47970/47970	---M--	200	added ('OK')	image/jpeg	etag:%226249889a-bb6a%22	https://templates.hibootstrap.com/jaunt/default/assets/img/blog/blog4.jpg	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/assets/img/blog/blog4.jpg	(from https://templates.hibootstrap.com/jaunt/default/index.html)
20:21:01	5968/5968	---M--	200	added ('OK')	image/jpeg	etag:%2262498898-1758%22	https://templates.hibootstrap.com/jaunt/default/assets/img/blog/author5.jpg	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/assets/img/blog/author5.jpg	(from https://templates.hibootstrap.com/jaunt/default/index.html)
20:21:02	146/146	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Feb%202023%2013:20:57%20GMT	https://templates.hibootstrap.com/jaunt/default/category.html	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/category.html	(from https://templates.hibootstrap.com/jaunt/default/cart.html)
20:21:03	95212/95212	---M--	200	added ('OK')	image/jpeg	etag:%226249885c-173ec%22	https://templates.hibootstrap.com/jaunt/default/assets/img/cart1.jpg	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/assets/img/cart1.jpg	(from https://templates.hibootstrap.com/jaunt/default/cart.html)
20:21:03	2168/2168	---M--	200	added ('OK')	image/png	etag:%2262498864-9d8%22	https://templates.hibootstrap.com/jaunt/default/assets/img/shape3.png	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/assets/img/shape3.png	(from https://templates.hibootstrap.com/jaunt/default/index-3.html)
20:21:03	667/667	---M--	200	added ('OK')	image/png	etag:%2262498864-794%22	https://templates.hibootstrap.com/jaunt/default/assets/img/shape4.png	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/assets/img/shape4.png	(from https://templates.hibootstrap.com/jaunt/default/index-3.html)
20:21:03	137388/137388	---M--	200	added ('OK')	image/jpeg	etag:%226249889d-218ac%22	https://templates.hibootstrap.com/jaunt/default/assets/img/page-title-area/cart.jpg	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/assets/img/page-title-area/cart.jpg	(from https://templates.hibootstrap.com/jaunt/default/cart.html)
20:21:03	138999/138999	---M--	200	added ('OK')	image/jpeg	etag:%226249885d-21ef7%22	https://templates.hibootstrap.com/jaunt/default/assets/img/cart2.jpg	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/assets/img/cart2.jpg	(from https://templates.hibootstrap.com/jaunt/default/cart.html)
20:21:05	83411/83411	---M--	200	added ('OK')	image/jpeg	etag:%22624988ac-15cf1%22	https://templates.hibootstrap.com/jaunt/default/assets/img/team/team5.jpg	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/assets/img/team/team5.jpg	(from https://templates.hibootstrap.com/jaunt/default/team.html)
20:21:08	113216/113216	---M--	200	added ('OK')	image/jpeg	etag:%22624988ac-1da03%22	https://templates.hibootstrap.com/jaunt/default/assets/img/team/team6.jpg	C:/My%20Web%20Sites/trepeeee/templates.hibootstrap.com/jaunt/default/assets/img/team/team6.jpg	(from https://templates.hibootstrap.com/jaunt/default/team.html)
